Sublime-Style-Column-Selection@1.2.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",11136,6618
language-scala@1.1.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",6592,4026
run-in-browser@0.1.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
sample@0.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sample` package",9,9
scala-format@0.1.6,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",17,9
scope-inspector@0.2.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
scope-inspector@0.2.1,"Call ::getActiveTextEditor instead",9,9
scope-inspector@0.2.1,"Please use Workspace::addBottomPanel() instead",9,9
scope-inspector@0.2.1,"Please use Workspace::addRightPanel() instead",9,9
scope-inspector@0.2.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
scope-inspector@0.2.1,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
scope-inspector@0.2.1,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
scope-inspector@0.2.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
scope-inspector@0.2.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `scope-inspector` package",9,9
scope-inspector@0.2.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
scope-inspector@0.2.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
scope-inspector@0.2.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
scope-inspector@0.2.1,"Use Workspace::onDidChangeActivePaneItem instead",9,9
script-runner@1.6.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,9
script-runner@1.6.0,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",26,9
script-runner@1.6.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `script-runner` package",26,9
script@2.10.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
script@2.10.0,"Please use Workspace::addTopPanel() instead",9,9
script@2.10.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
script@2.10.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
script@2.10.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `script` package",9,9
script@2.10.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
script@2.11.2,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
script@2.11.2,"Please use Workspace::addTopPanel() instead",9,9
script@2.11.2,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
script@2.11.2,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
script@2.11.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `script` package",9,9
script@2.11.2,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
script@2.13.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
script@2.13.0,"Please use Workspace::addTopPanel() instead",9,9
script@2.13.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
script@2.13.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
script@2.13.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `script` package",9,9
script@2.13.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
script@2.16.0,"Call ::getActiveTextEditor instead",9,9
script@2.16.0,"Please use Workspace::addBottomPanel() instead",9,9
script@2.16.0,"Use ::getPaths instead",9,9
script@2.16.0,"Use TextEditor::getLastCursor() instead",9,9
script@2.16.0,"Use TextEditor::getLastSelection() instead",9,9
select-to-character@1.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
seti-syntax@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-syntax` package",9,9
seti-ui-master@0.3.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-ui-master` package",9,9
seti-ui@0.1.13,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-ui` package",9,9
seti-ui@0.5.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-ui` package",9,9
Sidewalk-Chalk@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `Sidewalk-Chalk` package",17,9
slack-chat@1.0.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
slack-chat@1.0.1,"Please use Workspace::addRightPanel() instead",9,9
slack-chat@1.0.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
slack-chat@1.0.1,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
slack-chat@1.0.1,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
slack-chat@1.0.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
slack-chat@1.0.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
soda-light-ui-mod@2.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `soda-light-ui-mod` package",9,9
sort-lines@0.6.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
space-block-jumper@0.4.3,"Use TextEditor::moveUp() instead",9,9
spacegray-chalk-syntax@1.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `spacegray-chalk-syntax` package",17,9
spacegray-dark-ui@0.5.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `spacegray-dark-ui` package",9,9
spacegray-eighties-ui@0.8.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `spacegray-eighties-ui` package",26,9
spacegray-monokai-ui@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `spacegray-monokai-ui` package",9,9
stacktrace@0.0.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `stacktrace` package",9,9
stacktrace@0.0.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
status-tab-spacing@0.3.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
status-tab-spacing@0.3.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",9,9
status-tab-spacing@0.3.1,"Use ::addLeftTile({item, priority}) instead.",9,9
Stylus@0.4.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",9,9
Stylus@0.5.3,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",9,9
Sublime-Style-Column-Selection@1.1.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
sublime-tabs@0.4.6,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
sublime-tabs@0.4.6,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
sublime-tabs@0.4.6,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
sublime-tabs@0.4.6,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sublime-tabs` package",9,9
sublime-tabs@0.4.6,"TextEditor::on is deprecated. Use documented event subscription methods instead.",9,9
sublime-tabs@0.4.6,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
sublime-tabs@0.4.6,"Use ::getPaths instead",9,9
sublime-tabs@0.4.6,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
sublime-tabs@0.4.6,"Use Pane::onDidAddItem instead",9,9
sublime-tabs@0.4.6,"Use Pane::onDidChangeActiveItem instead",9,9
sublime-tabs@0.4.6,"Use Pane::onDidDestroy instead",9,9
sublime-tabs@0.4.6,"Use Pane::onDidMoveItem instead",9,9
sublime-tabs@0.4.6,"Use Pane::onDidRemoveItem instead",9,9
sublime-tabs@0.4.6,"Use TextEditor::onDidChangeModified instead",9,9
sublime-tabs@0.4.6,"Use TextEditor::onDidChangeTitle instead",9,9
sublime-tabs@0.4.7,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
sublime-tabs@0.4.7,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
sublime-tabs@0.4.7,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
sublime-tabs@0.4.7,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sublime-tabs` package",9,9
sublime-tabs@0.4.7,"TextEditor::on is deprecated. Use documented event subscription methods instead.",9,9
sublime-tabs@0.4.7,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
sublime-tabs@0.4.7,"Use ::getPaths instead",9,9
sublime-tabs@0.4.7,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
sublime-tabs@0.4.7,"Use Pane::onDidAddItem instead",9,9
sublime-tabs@0.4.7,"Use Pane::onDidChangeActiveItem instead",9,9
sublime-tabs@0.4.7,"Use Pane::onDidDestroy instead",9,9
sublime-tabs@0.4.7,"Use Pane::onDidMoveItem instead",9,9
sublime-tabs@0.4.7,"Use Pane::onDidRemoveItem instead",9,9
sublime-tabs@0.4.7,"Use TextEditor::onDidChangeModified instead",9,9
sublime-tabs@0.4.7,"Use TextEditor::onDidChangeTitle instead",9,9
sublime-tabs@0.4.8,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
sublime-tabs@0.4.8,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
sublime-tabs@0.4.8,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
sublime-tabs@0.4.8,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sublime-tabs` package",9,9
sublime-tabs@0.4.8,"TextEditor::on is deprecated. Use documented event subscription methods instead.",9,9
sublime-tabs@0.4.8,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
sublime-tabs@0.4.8,"Use ::getPaths instead",9,9
sublime-tabs@0.4.8,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
sublime-tabs@0.4.8,"Use Pane::onDidAddItem instead",9,9
sublime-tabs@0.4.8,"Use Pane::onDidChangeActiveItem instead",9,9
sublime-tabs@0.4.8,"Use Pane::onDidDestroy instead",9,9
sublime-tabs@0.4.8,"Use Pane::onDidMoveItem instead",9,9
sublime-tabs@0.4.8,"Use Pane::onDidRemoveItem instead",9,9
sublime-tabs@0.4.8,"Use TextEditor::onDidChangeModified instead",9,9
sublime-tabs@0.4.8,"Use TextEditor::onDidChangeTitle instead",9,9
sublime-tabs@0.4.9,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
sublime-tabs@0.4.9,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
sublime-tabs@0.4.9,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sublime-tabs` package",9,9
sublime-tabs@0.4.9,"TextEditor::on is deprecated. Use documented event subscription methods instead.",9,9
sublime-tabs@0.4.9,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
sublime-tabs@0.4.9,"Use ::getPaths instead",9,9
sublime-tabs@0.4.9,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
sublime-tabs@0.4.9,"Use Pane::onDidAddItem instead",9,9
sublime-tabs@0.4.9,"Use Pane::onDidChangeActiveItem instead",9,9
sublime-tabs@0.4.9,"Use Pane::onDidDestroy instead",9,9
sublime-tabs@0.4.9,"Use Pane::onDidMoveItem instead",9,9
sublime-tabs@0.4.9,"Use Pane::onDidRemoveItem instead",9,9
sublime-tabs@0.4.9,"Use TextEditor::onDidChangeModified instead",9,9
sublime-tabs@0.4.9,"Use TextEditor::onDidChangeTitle instead",9,9
sublimeselect@unknown,"Use TextEditor::getLastCursor() instead",9,9
subtle@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `subtle` package",9,9
supercollider@0.4.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `supercollider` package",9,9
supercollider@0.4.2,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
supercollider@0.4.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
swift-playground@0.2.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
swift-playground@0.2.0,"Call ::getActiveTextEditor instead",9,9
sync-settings@0.2.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
tab-move-key@0.1.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",17,9
tab-move-key@0.1.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",17,9
tab-move-key@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",17,9
tabs-closer@0.10.0,"Use ::getRepositories instead",17,9
tabs-closer@0.11.0,"Use ::getRepositories instead",9,9
tabs-closer@0.8.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
tabs-closer@0.8.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",9,9
tabs-to-spaces@0.7.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",26,9
tabs-to-spaces@0.7.1,"Passing a scope descriptor as the first argument to Config::get is deprecated. Pass a `scope` in an options hash as the final argument instead.",9,9
tabs-to-spaces@0.7.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",26,9
tabs-to-spaces@0.7.1,"Use TextBuffer::onWillSave instead. A TextBuffer instance is no longer provided as a callback argument.",26,9
tabs-to-spaces@0.7.1,"Use Workspace::getTextEditors instead",26,9
tabs-to-spaces@0.7.1,"Use Workspace::observeTextEditors instead",26,9
tabs-to-spaces@0.7.1,"Use Workspace::onDidAddTextEditor or Workspace::observeTextEditors instead.",26,9
tabs-to-spaces@0.8.0,"Passing a scope descriptor as the first argument to Config::get is deprecated. Pass a `scope` in an options hash as the final argument instead.",9,9
tabs-to-spaces@0.8.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
tag@0.2.2,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
tag@0.2.2,"Call ::getActiveTextEditor instead",9,9
tag@0.2.2,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
tag@0.2.2,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
tag@0.2.2,"Use TextBuffer::onDidChange instead",9,9
tag@0.2.2,"Use Workspace::onDidAddTextEditor instead",9,9
tag@0.2.3,"Use TextEditor::getLastCursor() instead",9,9
task-list@0.6.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `task-list` package",34,26
task-list@0.6.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",18,18
task-list@0.6.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",34,26
task-list@0.7.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
task-list@0.7.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
task-list@0.7.0,"Requiring `SelectListView` from `atom` is no longer supported. Please require `SelectListView` from `atom-space-pen-view` instead: `{SelectListView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
task-list@0.7.0,"Use Workspace::getActivePaneItem instead",9,9
tasks@1.0.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
tasks@1.0.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
tasks@1.0.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `tasks` package",9,9
tasks@1.0.1,"The atom.syntax global is deprecated. Use atom.grammars instead.",9,9
tasks@1.0.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",9,9
tasks@1.0.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
term2@0.9.4,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
term2@0.9.4,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",9,9
term2@0.9.4,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
term2@0.9.4,"Use ::get(keyPath) instead",9,9
term2@0.9.4,"Use ::getPaths instead",9,9
term2@0.9.4,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",9,9
terminal-panel@1.8.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",9,9
terminal-panel@1.8.0,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
terminal-panel@1.8.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",9,9
terminal-panel@1.8.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `terminal-panel` package",9,9
terminal-panel@1.8.0,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",9,9
terminal-panel@1.8.0,"Use ::addLeftTile({item, priority}) instead.",9,9
terminal-panel@1.8.0,"Use PackageManager::onDidActivateInitialPackages instead",9,9
terminal-panel@1.9.2,"Are you trying to listen for the 'core:confirm' Atom command with `jQuery::on`? `jQuery::trigger` can no longer be used to listen for Atom commands. Please use `atom.commands.add` instead. See the docs at https://atom.io/docs/api/latest/CommandRegistry#instance-add for details.",17,9
terminal-panel@1.9.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `terminal-panel` package",17,9
terminal-panel@1.9.2,"Use PackageManager::onDidActivateInitialPackages instead",17,9
